,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
0,日,1.0,4,1,4.0,"['ニチ', 'ジツ']","['ひ', '-び', '-か']","['day', 'sun', 'Japan', 'counter for days']",天気のよい日です。,It's a nice day.
1,一,1.0,1,2,4.0,"['イチ', 'イツ']","['ひと-', 'ひと.つ']","['one', 'one radical (no.1)']",来週になると一家族が入ってくる。,Next week a family will move in.
2,国,2.0,8,3,4.0,['コク'],['くに'],['country'],日本はいい国です。,Japan is a nice country.
3,会,2.0,6,4,4.0,"['カイ', 'エ']","['あ.う', 'あ.わせる', 'あつ.まる']","['meeting', 'meet', 'party', 'association', 'interview', 'join']",私は喜んでその会に出席します。,I am willing to attend the meeting.
4,年,1.0,6,6,4.0,['ネン'],['とし'],"['year', 'counter for years']",今年は１９９０年です。,This is the year 1990.
5,大,1.0,3,7,4.0,"['ダイ', 'タイ']","['おお-', 'おお.きい', '-おお.いに']","['large', 'big']",昨夜、大地震があった。,There was a big earthquake last night.
6,十,1.0,2,8,4.0,"['ジュウ', 'ジッ', 'ジュッ']","['とお', 'と', 'そ']",['ten'],十から四を引けば六が残る。,"If you take four from ten, you have six."
7,二,1.0,2,9,4.0,"['ニ', 'ジ']","['ふた', 'ふた.つ', 'ふたたび']","['two', 'two radical (no. 7)']",二、三歩下がって下さい。,Please walk back a few steps.
8,中,1.0,4,11,4.0,['チュウ'],"['なか', 'うち', 'あた.る']","['in', 'inside', 'middle', 'mean', 'center']",中を見てもいいです。,You can look inside.
9,長,2.0,8,12,4.0,['チョウ'],"['なが.い', 'おさ']","['long', 'leader', 'superior', 'senior']",チームの長として私は彼に有能な助力を得た。,As head of the team I was ably assisted by him.
10,出,1.0,5,13,4.0,"['シュツ', 'スイ']","['で.る', '-で', 'だ.す', '-だ.す', 'い.でる', 'い.だす']","['exit', 'leave', 'go out', 'come out', 'put out', 'protrude']",このズボンはひざが出やすい。,These pants tend to go baggy at the knees.
11,三,1.0,3,14,4.0,"['サン', 'ゾウ']","['み', 'み.つ', 'みっ.つ']",['three'],二、三歩下がって下さい。,Please walk back a few steps.
12,同,2.0,6,15,3.0,['ドウ'],['おな.じ'],"['same', 'agree', 'equal']",私はあなたとまったく同意見です。,I quite agree with you.
13,時,2.0,10,16,4.0,['ジ'],"['とき', '-どき']","['time', 'hour']",７時に電話します。,I'll call you at seven.
14,政,5.0,9,17,2.0,"['セイ', 'ショウ']","['まつりごと', 'まん']","['politics', 'government']",これらは当時は政、すなわち政治の一部であった。,These events played a political role in those days.
15,事,3.0,8,18,3.0,"['ジ', 'ズ']","['こと', 'つか.う', 'つか.える']","['matter', 'thing', 'fact', 'business', 'reason', 'possibly']",自分の事に注意しなければならない。,You must be careful of yourself.
16,自,2.0,6,19,3.0,"['ジ', 'シ']","['みずか.ら', 'おの.ずから', 'おの.ずと']",['oneself'],彼は例を示して自分の理論を説明した。,He illustrated his theory with examples.
17,行,2.0,6,20,4.0,"['コウ', 'ギョウ', 'アン']","['い.く', 'ゆ.く', '-ゆ.き', '-ゆき', '-い.き', '-いき', 'おこな.う', 'おこ.なう']","['going', 'journey', 'carry out', 'conduct', 'act', 'line', 'row', 'bank']",行と行との間をあける。,Leave a space between the lines.
18,社,2.0,7,21,4.0,['シャ'],['やしろ'],"['company', 'firm', 'office', 'association', 'shrine']",２社は合併を計画している。,The two companies plan to unite.
